"change","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
,"Cluster 2","Clustered","7.644444444444445","CTGF","false","CTGF"
"DOWN","Cluster 2","Seed","7.644444444444445","FGF13","false","FGF13"
"DOWN","Cluster 2","Clustered","6.805555555555555","RUNX2","false","RUNX2"
"UP","Cluster 2","Clustered","7.644444444444445","SPP1","false","SPP1"
"DOWN","Cluster 2","Clustered","7.644444444444445","MMP2","false","MMP2"
"DOWN","Cluster 2","Clustered","7.644444444444445","DCN","false","DCN"
"UP","Cluster 2","Clustered","7.644444444444445","MMP9","false","MMP9"
"DOWN","Cluster 2","Clustered","6.805555555555555","CXCL12","false","CXCL12"
