"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"7537",2.1672280924887,10.9235500509386,7.12926344842153,1.36934619761546e-10,5.2806046702119e-08,13.8288143745105,"UP"
"5076",-2.73316427119327,7.21077989559334,-7.1182518532671,1.44494937504678e-10,5.3731474617811e-08,13.7773734824377,"DOWN"
"7563",2.32835121630077,10.6253151227033,7.06546691962288,1.86885322301964e-10,6.59610161290864e-08,13.531147312208,"UP"
"342",-3.90248691905302,6.21153411464187,-7.05784240083152,1.93950682434123e-10,6.73138168501363e-08,13.4956309602604,"DOWN"
"4048",2.08802921390036,7.23735212607548,6.98041021894773,2.82517511235198e-10,9.19241352181526e-08,13.1356662069793,"UP"
"115",2.04811122861317,11.340919523303,6.96734533643296,3.00988555690376e-10,9.64274720568676e-08,13.0750632794675,"UP"
"20387",-4.30053676266049,4.71904328382924,-6.90851521899942,4.00120097983923e-10,1.22530895888488e-07,12.8026594939252,"DOWN"
"11399",-2.60613892169772,7.63423296187713,-6.86140514682277,5.02280487509801e-10,1.4942126959863e-07,12.5851082422807,"DOWN"
"2517",-2.58990916690353,9.46997316251119,-6.85531280749026,5.17250429236561e-10,1.51707365329889e-07,12.5570128507193,"DOWN"
"20182",-3.8618577089059,5.89906092010313,-6.79280818635585,6.98766524865952e-10,1.96313745329479e-07,12.269287184056,"DOWN"
"14919",2.14415359511891,8.39327544956253,6.79132945866108,7.03748599835594e-10,1.96313745329479e-07,12.26249180342,"UP"
"16717",2.37905810796974,9.8633314580003,6.79035637290536,7.070462399016e-10,1.96313745329479e-07,12.2580203573106,"UP"
"17029",-3.98880574737685,4.99473684194287,-6.76652207822936,7.92765334144311e-10,2.1439669244443e-07,12.1485724183003,"DOWN"
"10757",2.23104451416736,9.55154370172474,6.76021981730946,8.17100079624961e-10,2.18144769975772e-07,12.1196559336279,"UP"
"11351",-2.33538327586721,8.4785860387789,-6.72431548240095,9.70506961742075e-10,2.52622962141462e-07,11.9551082619387,"DOWN"
"5869",-2.19563720587712,6.98338096720789,-6.70839860759451,1.04731986645751e-09,2.69251714803841e-07,11.8822670195529,"DOWN"
"17360",-2.98785111616282,4.42095825738696,-6.69848194473731,1.0981846865108e-09,2.78885340389034e-07,11.836917762963,"DOWN"
"15669",3.57450785929941,11.2699160888267,6.64729402197533,1.40221132543804e-09,3.47614864772877e-07,11.6032397554718,"UP"
"13521",-2.01746889485825,8.56008625651951,-6.64143453518531,1.44193027111869e-09,3.53255952538536e-07,11.5765344471346,"DOWN"
"14435",2.09327979140854,9.44880091181516,6.62426658661218,1.56481943102429e-09,3.78904649205231e-07,11.498341884404,"UP"
