"","id","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","gene"
"1",37,-2.41916901519886,5.80374504270507,-4.75748217784617,6.3291647484627e-06,0.00024861520311953,3.59873568363425,"DOWN","ABCA17P"
"2",115,2.04811122861317,11.340919523303,6.96734533643296,3.00988555690376e-10,9.64274720568676e-08,13.0750632794675,"UP","ABRACL"
"3",136,3.06190415405062,9.59996670488799,6.52727256959007,2.48028042039443e-09,5.61406081242322e-07,11.0580696053795,"UP","ACAP2"
"4",145,-2.09917200031491,5.96235396469348,-4.12458310814365,7.48546638911144e-05,0.00173582797424117,1.27981652881224,"DOWN","ACE"
"5",156,2.35514549834002,9.4698864483454,3.45719277584135,0.00079133145847373,0.0108341132749882,-0.903956827835304,"UP","ACLY"
"6",189,-2.87583487924958,10.718861314807,-4.9485454535486,2.88500586587712e-06,0.00013380258830963,4.34061492171505,"DOWN","ACSL5"
"7",274,2.09371877102034,7.00464617476985,4.62400244621134,1.08429718760511e-05,0.00037695166335039,3.09144294189263,"UP","ADAMDEC1"
"8",296,-2.41424453743931,5.35790176686089,-4.10682186658052,7.99773400284609e-05,0.00182300413256815,1.2180430365992,"DOWN","ADAMTS9-AS2"
"9",323,-2.13130024146069,5.02895334711326,-4.94509982848594,2.92661837786743e-06,0.00013483163960334,4.32707672613465,"DOWN","ADCY6-DT"
"10",339,2.16370722062839,5.41136732788633,5.59881943811793,1.76247030559898e-07,1.39648654996866e-05,6.99197013034392,"UP","ADGRB2"
"11",341,-3.10172009168514,4.09601352729813,-5.99787310826501,2.92013713916149e-08,3.60121385830182e-06,8.7039742989285,"DOWN","ADGRB3-DT"
"12",342,-3.90248691905302,6.21153411464187,-7.05784240083152,1.93950682434123e-10,6.73138168501363e-08,13.4956309602604,"DOWN","ADGRD1"
"13",355,-2.64992835949061,8.46378971503614,-2.88840819502744,0.00470979149019605,0.0398773517276117,-2.52211576460163,"DOWN","ADGRG2"
"14",373,-2.7313251025465,8.22170634224298,-8.58030646403122,9.63672313808351e-14,1.67229268856209e-10,20.7813867340695,"DOWN","ADHFE1"
"15",379,-2.37934965880859,5.3298470232126,-5.46284754124915,3.20826549177247e-07,2.23441206022307e-05,6.42255057376643,"DOWN","ADIRF"
"16",382,2.05501668046314,11.9010062280159,5.59986056604928,1.75435653399875e-07,1.39648654996866e-05,6.99635868457264,"UP","ADM"
"17",419,-2.04481160697212,9.2100392126689,-7.63240790678728,1.14575141386755e-11,7.45597732574311e-09,16.2043803363339,"DOWN","AFDN-DT"
"18",519,-2.35846004741882,6.95930961064827,-2.99160377029081,0.00346415865297949,0.0319863321978965,-2.24638354014365,"DOWN","AKAP12"
"19",532,2.52328504685412,7.84743178798961,3.75498021598994,0.00028573817778308,0.00489326629453528,0.0346317387352588,"UP","AKIRIN1"
"20",533,3.73431492587226,6.62982802557591,3.25384384677358,0.00153533692294662,0.0179214439929599,-1.509647523383,"UP","AKIRIN2"
"21",579,2.9774424163967,10.4682799122261,3.85228707444126,0.00020240781725321,0.00376333963078656,0.35408586087775,"UP","ALDOA"
"22",585,-2.36197155310937,7.62779247554008,-7.90241294937122,2.97261614797971e-12,2.81371630297862e-09,17.4967646074789,"DOWN","ALG10B"
"23",612,-3.02257943000207,6.6236907937113,-4.26614603825764,4.388653910973e-05,0.00113105605250126,1.77888360606428,"DOWN","ALOX12-AS1"
"24",650,2.94653102646614,7.58570275086505,3.21301508302877,0.00174807575177426,0.0195814574797995,-1.62768662414686,"UP","AMMECR1"
"25",653,-2.02686292461807,9.02045478633148,-3.94494099246552,0.00014499324040979,0.00291723597902761,0.66390048574352,"DOWN","AMN1"
"26",672,-2.01928288635508,13.1151194194016,-3.52664052237026,0.00062714661111407,0.00905665813442412,-0.690449109525126,"DOWN","ANAPC4"
"27",681,-4.58368988768742,4.92600533333942,-5.98349668156616,3.11853643988059e-08,3.75378051006205e-06,8.64130138064475,"DOWN","ANGPTL1"
"28",771,3.3025013633466,8.7132362661896,5.76071957615695,8.55804171085929e-08,8.02759732373576e-06,7.67945026286524,"UP","ANLN"
"29",776,-2.01077536209689,5.27729187878759,-4.06249970062661,9.4268134156816e-05,0.00207290351180732,1.06472312819564,"DOWN","ANO4"
"30",794,-2.35982079078481,7.82372191224065,-2.85365942165324,0.00521421741828195,0.0427315480197967,-2.6131171716114,"DOWN","ANTXR2"
"31",821,2.27320033985571,5.3072923675942,3.15123546250548,0.00212278717179104,0.0224732689707049,-1.80398042456387,"UP","AP1AR"
"32",974,2.48166089819128,7.84774736914395,4.02852267565773,0.00010684784942055,0.00229145171610059,0.948000118525506,"UP","ARHGAP26"
"33",1032,-2.33772512107036,8.36627673699569,-10.8975245212775,6.49753051543323e-19,8.11332638765732e-15,32.1615979954748,"DOWN","ARID4A"
"34",1075,-2.4366433266206,9.7806527765787,-5.88918321834957,4.7915500336987e-08,5.09077744396642e-06,8.23193100580892,"DOWN","ARMCX1"
"35",1078,-2.14380792476188,5.34925067511979,-3.67473635578896,0.00037805723225949,0.00605589523428586,-0.224151638025639,"DOWN","ARMCX4"
"36",1112,-2.16216062117854,7.79873337590134,-4.30728307894537,3.75009304414731e-05,0.00099607063203218,1.92610894652284,"DOWN","ARSJ"
"37",1172,-3.53585178697979,7.81204745826556,-3.02588539144521,0.00312295384120551,0.0296410167681238,-2.15298863785123,"DOWN","ASNS"
"38",1180,2.76315430580957,8.25227408331109,5.98069089502008,3.15877592742036e-08,3.77190199771092e-06,8.62907805811937,"UP","ASPM"
