"group","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"-1",,"Unclustered","4.0","SFRP4","false","SFRP4"
"1",,"Unclustered","0.0","ATP13A3","false","ATP13A3"
"-1",,"Unclustered","0.0","PDZRN3","false","PDZRN3"
"1","Cluster 2","Clustered","8.0","PSMA3","true","PSMA3"
"1",,"Unclustered","1.6666666666666667","IDH3G","false","IDH3G"
"1",,"Unclustered","3.7333333333333334","PRDX3","false","PRDX3"
,,"Unclustered","6.0","ATP5H","false","ATP5H"
"-1","Cluster 2","Clustered","8.0","RPS9","true","RPS9"
"1",,"Unclustered","3.4285714285714284","SDHD","false","SDHD"
"1",,"Unclustered","2.4","HSPD1","false","HSPD1"
,,"Unclustered","2.7","ATP5G2","false","ATP5G2"
"-1","Cluster 2","Clustered","8.0","RPS14","true","RPS14"
"-1",,"Unclustered","3.4285714285714284","UQCRB","false","UQCRB"
"-1",,"Unclustered","3.7333333333333334","VDAC3","false","VDAC3"
"1",,"Unclustered","4.107142857142857","COX4I1","false","COX4I1"
"1",,"Unclustered","4.0","COX6A1","false","COX6A1"
"-1",,"Unclustered","3.0","CHCHD3","false","CHCHD3"
"-1",,"Unclustered","0.0","GUCY1A2","false","GUCY1A2"
"-1","Cluster 2","Clustered","8.0","RPL35A","true","RPL35A"
"-1","Cluster 2","Clustered","8.0","RPL13","true","RPL13"
"1","Cluster 2","Clustered","8.0","RPL18","true","RPL18"
"-1",,"Unclustered","2.0","B4GALT1","false","B4GALT1"
"1",,"Unclustered","5.5","SLC2A1","false","SLC2A1"
"1","Cluster 8","Clustered","2.0","SLC35A2","false","SLC35A2"
"1",,"Unclustered","0.6666666666666666","BAG6","false","BAG6"
"1",,"Unclustered","5.0","HAVCR2","false","HAVCR2"
"-1",,"Unclustered","0.0","EPB41L4A","false","EPB41L4A"
"-1",,"Unclustered","3.0","IFT80","false","IFT80"
"1",,"Unclustered","0.0","FBXL16","false","FBXL16"
"-1",,"Unclustered","2.7","BCL3","false","BCL3"
"1","Cluster 2","Clustered","7.5636363636363635","STAT1","true","STAT1"
"1",,"Unclustered","2.7","IRAK3","false","IRAK3"
"1","Cluster 9","Clustered","2.0","BHLHE41","false","BHLHE41"
