"","group","filter","genes","logFC","logCPM","LR","PValue"
"2256",-1,"2256","CARNS1",-1.99046009473388,3.0477262654361,12.3721046196751,0.000435796087214936
"2276",1,"2276","CASP10",1.79201551856551,2.01101060873257,11.1178147666074,0.000855024653252428
"2294",1,"2294","CAST",2.0851909661286,6.47821252255065,14.9450246046907,0.000110689565609664
"2329",-1,"2329","CBLN4",-2.3350734944986,3.2798050134309,13.9658583635847,0.000186160649404297
"2354",-1,"2354","CCDC102B",-2.26187391141185,1.07698547764196,11.7950328842168,0.000593889628168682
"2379",-1,"2379","CCDC14",-1.94548114023048,5.7052988864227,13.4103803082206,0.000250235675252705
"2392",1,"2392","CCDC152",2.45033267944907,6.5863461084162,19.3151042269066,1.10826184026621e-05
"2519",-1,"2519","CCN4",-2.72997284560249,3.81264995715277,14.3485646776878,0.000151895449424294
"2531",1,"2531","CCND3",2.45561223773763,5.12634468460651,11.8980741009802,0.000561920131729518
"2542",1,"2542","CCNK",2.70363941886514,4.72849100416999,21.5543523684299,3.43941247560583e-06
"2554",1,"2554","CCP110",1.7967816399277,3.34065893082572,11.0811438294521,0.000872099892371793
"2573",1,"2573","CCT4",4.45220363227957,7.69644958836752,19.0449070557897,1.27678071051358e-05
"2578",-1,"2578","CCT8",-3.00760604378304,7.79969871146025,12.9778268656914,0.00031520159807032
"2583",1,"2583","CD109",1.85342923719111,5.71310130985184,12.6605143600099,0.000373459456993935
"2613",1,"2613","CD2AP",2.93931837017313,7.10858385176002,12.2586244094059,0.000463112772906471
"2640",1,"2640","CD53",3.13516917655881,6.44611051818292,25.0205163024438,5.67235171539024e-07
"2642",1,"2642","CD58",3.06301243192175,6.03968032339878,18.3054564974279,1.88167435340215e-05
"2717",-1,"2717","CDH1",-3.16008111969051,6.38730053154205,25.3113631195922,4.87826438947848e-07
"2948",-1,"2948","CFAP276",-1.72535359314161,3.76020348543246,11.2600847135048,0.000791915968045653
"2967",-1,"2967","CFAP69",-2.06620866614384,3.1055402477246,14.3561398962224,0.000151285533056464
"2994",-1,"2994","CFTR",-1.92083546020681,5.97392056813725,11.3805971239996,0.000742152557873696
"3015",-1,"3015","CHCHD3",-2.25096811850681,3.49870158685794,13.9456267513577,0.000188174908054416
"3022",-1,"3022","CHD1L",-2.68122303863901,4.34458745547353,11.7449223902956,0.00061009452597072
"3173",-1,"3173","CLCA2",-2.13779035817344,3.31035864472398,15.0137656954081,0.000106729799497058
"3188",-1,"3188","CLDN10",-1.79027902709382,3.32978241365593,11.2692745850222,0.000788005160580325
"3230",1,"3230","CLEC5A",2.10801911580269,6.22959184888772,15.3281711296865,9.03589436564365e-05
"3231",1,"3231","CLEC7A",2.13630753053845,6.21186912535305,15.5566856934721,8.00680000823574e-05
"3238",1,"3238","CLIC4",1.81178779117641,6.54263604064116,11.6469877651133,0.000643065810698305
"3241",-1,"3241","CLINT1",-2.17304270995745,5.76519363100881,11.610117427366,0.00065594010943959
"3246",1,"3246","CLIP4",2.97109527862494,5.06792913562414,20.9655770208161,4.67610172332792e-06
"3349",1,"3349","CNOT2",2.13424462660048,5.90886408721338,14.9725015551791,0.000109089342484708
"3353",1,"3353","CNOT6L",2.60061998941396,4.22522739534651,11.4562093885509,0.000712555002033823
"3374",-1,"3374","CNTN4",-3.33611922245543,5.56404024111484,11.9353818931995,0.000550778367025558
"3409",-1,"3409","COL12A1",-2.2112817856015,6.69707895967807,15.6671707114219,7.55237625530516e-05
"3418",-1,"3418","COL1A1",-2.23601652311949,6.63192269440078,16.8351656123971,4.07707655946007e-05
"3430",-1,"3430","COL3A1",-5.4294275994911,10.7158085722094,21.9518160049434,2.79582220407308e-06
"3440",1,"3440","COL6A1",1.93965961222753,3.29205418466772,10.8161534004993,0.00100618320868949
"3473",1,"3473","COPB1",2.15455682888001,6.21777823996665,15.6410671251356,7.6573427539496e-05
"3493",1,"3493","COQ10B",1.69960446925673,4.56036608621307,11.4478332993153,0.000715774112120319
"3527",1,"3527","COX4I1",1.85770448201279,6.85153149758186,13.297266395366,0.000265793357753646
