"","genes","probe_id","logFC","logCPM","LR","PValue","sig","change"
"86","ABHD13","235348_at",-0.364585128980223,3.48813189898052,0.350663895658435,0.553737555248604,"FALSE","NOT"
"87","ABHD14A","210006_at",-0.220761905899647,4.83100629705449,0.134860613204502,0.713444680648487,"FALSE","NOT"
"88","ABHD14B","224821_at",-0.314277534503635,4.78796685901122,0.297314885181713,0.585570663797295,"FALSE","NOT"
"89","ABHD15","226796_at",-0.0146948214987047,3.32138106089109,0.000795068880918848,0.977505057195969,"FALSE","NOT"
"90","ABHD16A","230221_at",0.228954516325847,5.84881230550153,0.117680272496116,0.731564167660191,"FALSE","NOT"
"91","ABHD16B","234002_at",-0.0260887420942293,-1.98457402862433,0.00193107902909906,0.964949006919399,"FALSE","NOT"
"92","ABHD17A","221267_s_at",-0.419158048821945,6.72458464621471,0.56219302637443,0.45337798603468,"FALSE","NOT"
"93","ABHD17B","228872_at",-0.718905770798142,0.808648375493448,0.978049213434351,0.322680898948039,"FALSE","NOT"
"94","ABHD17C","225436_at",-0.0636508846242169,5.34737260703416,0.00947402671455677,0.922460669997774,"FALSE","NOT"
"95","ABHD18","241968_at",-0.33130750506909,4.26520158992239,0.35825719072818,0.549475743864704,"FALSE","NOT"
"96","ABHD2","87100_at",2.45454508889262,4.49007204788333,8.73247083012089,0.00312592608778288,"TRUE","UP"
"97","ABHD3","213017_at",0.94552239036575,6.44718059234177,3.59538745525333,0.0579401208127138,"FALSE","NOT"
"98","ABHD4","242023_at",0.659371404397022,4.43584370912813,1.13323594748056,0.287086156557274,"FALSE","NOT"
"99","ABHD5","232862_at",-0.434537523672526,3.74135596024017,0.493809423484663,0.482232911148142,"FALSE","NOT"
"100","ABHD6","45288_at",1.69323727728119,3.03340634355699,4.40086601789525,0.0359206854279887,"TRUE","NOT"
"101","ABHD8","219101_x_at",0.228946904437378,3.13107984925852,0.195718277299047,0.658199356028229,"FALSE","NOT"
"102","ABI1","209028_s_at",-0.166178704983009,5.11339133027174,0.0551998460053156,0.814250277325512,"FALSE","NOT"
"103","ABI2","231075_x_at",1.20821040959712,4.20421977426711,4.0168185427114,0.0450486164672427,"TRUE","NOT"
"104","ABI3","223615_at",0.196935247535842,3.39452871238144,0.138227217019182,0.71004979758093,"FALSE","NOT"
"105","ABI3BP","223395_at",-0.864823764112844,5.7211056435824,1.15164692453578,0.28320465587957,"FALSE","NOT"
"106","ABITRAM","218998_at",0.0766898110893498,5.43374156329684,0.019396915056209,0.889234576493798,"FALSE","NOT"
"107","ABL1","202123_s_at",-0.76179398257048,6.61914103555356,1.30697800724477,0.252942533339881,"FALSE","NOT"
"108","ABL2","231907_at",0.990369753950878,3.57687715542394,3.93832095399458,0.0471978636268002,"FALSE","NOT"
"109","ABLIM1","210461_s_at",0.243882029658155,7.54983040355485,0.0940384153448122,0.759104587252076,"FALSE","NOT"
"110","ABLIM2","242624_at",-0.050927356968211,1.98252775037332,0.00850416092524231,0.926524831014471,"FALSE","NOT"
"111","ABLIM3","205730_s_at",-0.00600470607150053,2.96303258260786,0.000111172464636322,0.991587392409612,"FALSE","NOT"
"112","ABO","216929_x_at",-0.959502937231181,0.382884485496224,2.54632001810164,0.110551482285998,"FALSE","NOT"
"113","ABR","214671_s_at",0.98894745346821,1.3472113656143,2.30890886941118,0.128634319396443,"FALSE","NOT"
"114","ABRA","1552732_at",-0.601761791013696,-0.0733169298351373,1.07514810390956,0.299785499494572,"FALSE","NOT"
"115","ABRACL","223361_at",0.448100258250353,7.7341712107058,0.6640493605031,0.415133996251654,"FALSE","NOT"
"116","ABRAXAS1","233543_s_at",-0.181257151302134,4.39756768774332,0.0922616445293831,0.761321394666463,"FALSE","NOT"
"117","ABRAXAS2","212837_at",-0.0671540727509413,5.12240562515339,0.0157612866637891,0.90009292283322,"FALSE","NOT"
"118","ABT1","218405_at",0.114071579285074,5.00472079969135,0.0365908898067424,0.848300390375776,"FALSE","NOT"
"119","ABTB1","242567_at",0.900740533802118,0.0799881015271606,3.27465043530183,0.070357913893978,"FALSE","NOT"
"120","ABTB2","232624_at",1.49181780967654,3.3690451860655,8.78363079191438,0.00303945618217837,"TRUE","NOT"
"121","ABTB3","238692_at",-0.478629373180899,2.54760517399158,0.861033015920784,0.353449770833134,"FALSE","NOT"
"122","ACAA1","214274_s_at",-0.0694974765348339,5.09298313309769,0.0146834769521522,0.903552110476935,"FALSE","NOT"
"123","ACAA2","241114_s_at",-2.06031906644884,2.67015905447693,11.3613013839909,0.000749902615042707,"TRUE","DOWN"
"124","ACACA","214358_at",-0.199353777416896,5.34792348199924,0.165354760478877,0.684273614680128,"FALSE","NOT"
"125","ACACB","49452_at",-2.44874298582938,4.10064803038413,7.3881197710353,0.00656560867925282,"TRUE","DOWN"
"126","ACAD10","238655_at",0.155594035492267,1.60266208441507,0.101175097105813,0.750424002858327,"FALSE","NOT"
"127","ACAD8","221669_s_at",0.142794120089864,5.28106342535656,0.0596729765691055,0.807013562811069,"FALSE","NOT"
"128","ACAD9","224160_s_at",0.211977953352394,5.67456654025675,0.154779540962149,0.694009070765951,"FALSE","NOT"
"129","ACADL","206069_s_at",-0.726319318437362,2.94832398795697,2.15524718134195,0.142083576289745,"FALSE","NOT"
"130","ACADM","202502_at",0.042802144087153,6.85394690691919,0.00534265755754859,0.941731725964997,"FALSE","NOT"
"131","ACADS","202366_at",0.129308367623127,3.35482824109472,0.059181637449262,0.807794102289761,"FALSE","NOT"
"132","ACADSB","226030_at",-0.203521149817209,3.81103265402539,0.13781834734937,0.710459575390955,"FALSE","NOT"
"133","ACADVL","200710_at",0.152446274478013,7.44971248156747,0.0957411075439722,0.757001602400216,"FALSE","NOT"
"134","ACAN","217161_x_at",0.430853462746653,0.428507700293955,0.832571203719655,0.361530090852478,"FALSE","NOT"
"135","ACAP1","242081_at",0.142021400184274,1.73060280296859,0.0728989082746807,0.787161808965601,"FALSE","NOT"
"136","ACAP2","212477_at",0.506479730025512,5.7175597577685,0.201187677705121,0.653763889903194,"FALSE","NOT"
"137","ACAP3","225542_at",-0.0542523496396724,1.27727453177017,0.00678543037158796,0.934349530399236,"FALSE","NOT"
"138","ACAT1","205412_at",-0.379213301322251,1.40769868887194,0.497180911030906,0.480741431289268,"FALSE","NOT"
"139","ACAT2","209608_s_at",0.436349611620866,5.375866620276,0.568632676979952,0.450802766230537,"FALSE","NOT"
"140","ACBD3","202324_s_at",0.798268696573019,6.185415791913,2.63466037769257,0.104554416681621,"FALSE","NOT"
"141","ACBD4","219413_at",-0.251528182792205,2.95267348972469,0.214740845171779,0.643076684892123,"FALSE","NOT"
"142","ACBD5","225663_at",-0.0419472297485971,6.60424362190596,0.0100350549718087,0.920205296796,"FALSE","NOT"
"143","ACCS","228264_at",0.0711553344384039,4.6781964261756,0.0189792048155879,0.890426118989872,"FALSE","NOT"
"144","ACD","204617_s_at",-0.143123783784625,4.40373249093541,0.0545232377564275,0.815371527332695,"FALSE","NOT"
"145","ACE","227463_at",0.554451332680837,2.31254154838217,0.523131054834717,0.469509110590802,"FALSE","NOT"
"146","ACE2","222257_s_at",0.0081160963153262,1.85729756254827,0.000186805472448981,0.989095108783271,"FALSE","NOT"
